epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,569.381,1.12049,2.71707,1.00521,0.04283,0.96478,0.95125,0.81591,0.61866,2.78556,0.84455,0.000656085,0.000656085,0.000656085
2,1130.96,0.62911,1.29379,0.85521,0.99988,0.99874,0.995,0.8659,0.53782,0.70516,0.81764,0.0011918,0.0011918,0.0011918
3,1688.14,0.57924,0.91987,0.85043,0.99992,0.99874,0.995,0.8823,0.47694,0.55032,0.80704,0.00159551,0.00159551,0.00159551
4,2241.72,0.48085,0.65856,0.83647,0.99982,0.99874,0.995,0.92846,0.40656,0.44542,0.79749,0.001406,0.001406,0.001406
5,2792.31,0.41007,0.51894,0.81296,0.99993,0.99874,0.995,0.93346,0.37083,0.37957,0.78637,0.001208,0.001208,0.001208
6,3343.76,0.37237,0.44044,0.81121,0.99993,0.99874,0.995,0.97813,0.26019,0.3049,0.77656,0.00101,0.00101,0.00101
7,3893.4,0.31223,0.35926,0.79908,1,0.99993,0.995,0.98475,0.23279,0.24933,0.7711,0.000812,0.000812,0.000812
8,4439.35,0.2873,0.32018,0.7898,1,0.99993,0.995,0.98206,0.21292,0.23449,0.77154,0.000614,0.000614,0.000614
9,4986.18,0.25586,0.29528,0.78325,1,0.99993,0.995,0.99383,0.17588,0.20592,0.76684,0.000416,0.000416,0.000416
10,5533.53,0.22432,0.26417,0.78231,1,0.99993,0.995,0.99476,0.15417,0.18936,0.7644,0.000218,0.000218,0.000218
